STOPS,STOP NUMBER
B.D.A.Complex Nagarabhavi,1
Papareddypalya,2
Deepa Complex,3
Kengunte Circle,4
N.G.E.F. Layout Nagarabhavi,5
Nrupatunga Nagar,6
Nagarabhavi Village,7
Nagarabhavi Circle,8
Jyothi Nagara,9
Chandra Layout Circle,10
Ganesha Temple Chandra Layout,11
Chandra Public School,12
Income Tax Layout,13
Attiguppe,14
Bapujinagara,15
New Guddadahalli,16
Kasturaba Nagar,17
Sirsi Circle,18
Veterinary Hospital / Vinayaka Talkies,19
K.R.Market,20
Town Hall,21
Corporation,22
St.Joseph Boys High School Malya Hospital,23
Richmond Circle,24
St Joseph College,25
Mayohall,26
Trinity Circle / Lido Talkies,27
Halasuru,28
Lakshmipura,29
Police Station Indiranagara,30
Chinmaya Mission Hospital,31
Tippasandra,32
Thippasandra Market,33
Ganesha Temple Thippasandra,34
B.E.M.L.Gate,35
Bagmane Tech Park,36
D.R.D.O. Quarters Phase 1,37
C.V. Raman Nagara,38
