Day,Operating Hours,Frequency
Sun,5:00 AM - 10:30 PM,5 min
Mon,5:00 AM - 10:30 PM,5 min
Tue,5:00 AM - 10:30 PM,5 min
Wed,5:00 AM - 10:30 PM,5 min
Thu,5:00 AM - 10:30 PM,5 min
Fri,5:00 AM - 10:30 PM,5 min
Sat,5:00 AM - 10:30 PM,5 min
