Day,Operating Hours,Frequency
Sun,5:20 AM - 9:25 PM,15 min
Mon,5:20 AM - 9:25 PM,15 min
Tue,5:20 AM - 9:25 PM,15 min
Wed,5:20 AM - 9:25 PM,15 min
Thu,5:20 AM - 9:25 PM,15 min
Fri,5:20 AM - 9:25 PM,15 min
Sat,5:20 AM - 9:25 PM,15 min
