Day,Operating Hours,Frequency
Sun,5:30 AM - 8:30 PM,15 min
Mon,5:30 AM - 8:30 PM,15 min
Tue,5:30 AM - 8:30 PM,15 min
Wed,5:30 AM - 8:30 PM,15 min
Thu,5:30 AM - 8:30 PM,15 min
Fri,5:30 AM - 8:30 PM,15 min
Sat,5:30 AM - 8:30 PM,15 min
