Day,Operating Hours,Frequency
Sun,6:15 AM - 9:10 PM,20 min
Mon,6:15 AM - 9:10 PM,20 min
Tue,6:15 AM - 9:10 PM,20 min
Wed,6:15 AM - 9:10 PM,20 min
Thu,6:15 AM - 9:10 PM,20 min
Fri,6:15 AM - 9:10 PM,20 min
Sat,6:15 AM - 9:10 PM,20 min
