STOPS,STOP NUMBER
H.S.R.Layout (B.D.A.Complex),1
Jakkasandra Kormangala,2
Kormangala,3
John Fowler,4
Kudure Mukha Colony,5
Koramangala Water Tank,6
St.Johns Hospital,7
Check Post,8
Muneshwara Devasthana,9
Bengaluru Dairy Circle,10
Carmel Convent,11
Sanjay Gandhi Hospital,12
Jayanagara Church,13
Jayanagara T.T.M.C.,14
Madhavan Park,15
Shanthi Talkies,16
Nagasandra Circle,17
Netakallappa Circle,18
Basavanagudi Police Station,19
Gandhi Bazaar,20
Ramakrishna Ashrama,21
Bangalore High School,22
Chamarajapet,23
Chamarajpet Rama Mandir,24
T.R.Mill,25
Sirsi Circle,26
Gopalan Mall,27
Mysore Road Satellite Bus Station,28
Deepanjalinagara,29
Attiguppe,30
Vijayanagara T.T.M.C.,31
Maruti Mandir Vijayanagara,32
Vijayanagara Metro Station,33
Hosahalli Metro Station,34
Agrahara Dasarahalli,35
K.H.B. Colony / Unani Hospital,36
Basaveshwaranagara New Bus Stand,37
